Geographic Area Name,Year,Meaning of Survey Component,Aggregate Description,Meaning of Aggregate Description,Meaning of Type of Government,Amount Formatted
Washington,2019,Annual Survey of State Government Tax Collection,ST0T20,Alcoholic Beverages License Taxes,State,"164,790"
Washington,2020,Annual Survey of State Government Tax Collection,ST0T20,Alcoholic Beverages License Taxes,State,"187,534"
Washington,2016,Annual Survey of State Government Tax Collection,ST0T21,Amusements License Taxes,State,"6,630"
Washington,2017,Annual Survey of State Government Tax Collection,ST0T21,Amusements License Taxes,State,"14,807"
Washington,2018,Annual Survey of State Government Tax Collection,ST0T21,Amusements License Taxes,State,"13,914"
Washington,2019,Annual Survey of State Government Tax Collection,ST0T21,Amusements License Taxes,State,"12,713"
Washington,2020,Annual Survey of State Government Tax Collection,ST0T21,Amusements License Taxes,State,"14,942"
Washington,2016,Annual Survey of State Government Tax Collection,ST0T22,Corporations General License Taxes,State,"35,739"
Washington,2017,Annual Survey of State Government Tax Collection,ST0T22,Corporations General License Taxes,State,"39,776"
Washington,2018,Annual Survey of State Government Tax Collection,ST0T22,Corporations General License Taxes,State,"41,834"
Washington,2019,Annual Survey of State Government Tax Collection,ST0T22,Corporations General License Taxes,State,"42,722"
Washington,2020,Annual Survey of State Government Tax Collection,ST0T22,Corporations General License Taxes,State,"45,559"
Washington,2016,Annual Survey of State Government Tax Collection,ST0T23,Hunting and Fishing License Taxes,State,"43,864"
Washington,2017,Annual Survey of State Government Tax Collection,ST0T23,Hunting and Fishing License Taxes,State,"41,287"
Washington,2018,Annual Survey of State Government Tax Collection,ST0T23,Hunting and Fishing License Taxes,State,"42,450"
Washington,2019,Annual Survey of State Government Tax Collection,ST0T23,Hunting and Fishing License Taxes,State,"41,887"
Washington,2020,Annual Survey of State Government Tax Collection,ST0T23,Hunting and Fishing License Taxes,State,"42,573"
Washington,2016,Annual Survey of State Government Tax Collection,ST0T24,Motor Vehicle License Taxes,State,"603,519"
Washington,2017,Annual Survey of State Government Tax Collection,ST0T24,Motor Vehicle License Taxes,State,"551,517"
Washington,2018,Annual Survey of State Government Tax Collection,ST0T24,Motor Vehicle License Taxes,State,"1,129,671"
Washington,2019,Annual Survey of State Government Tax Collection,ST0T24,Motor Vehicle License Taxes,State,"836,075"
Washington,2020,Annual Survey of State Government Tax Collection,ST0T24,Motor Vehicle License Taxes,State,"648,425"
Washington,2016,Annual Survey of State Government Tax Collection,ST0T25,Motor Vehicle Operators License Taxes,State,"119,671"
Washington,2017,Annual Survey of State Government Tax Collection,ST0T25,Motor Vehicle Operators License Taxes,State,"120,953"
Washington,2018,Annual Survey of State Government Tax Collection,ST0T25,Motor Vehicle Operators License Taxes,State,"135,270"
Washington,2019,Annual Survey of State Government Tax Collection,ST0T25,Motor Vehicle Operators License Taxes,State,"87,780"
Washington,2020,Annual Survey of State Government Tax Collection,ST0T25,Motor Vehicle Operators License Taxes,State,"104,615"
Washington,2016,Annual Survey of State Government Tax Collection,ST0T27,Public Utilities License Taxes,State,"22,587"
Washington,2017,Annual Survey of State Government Tax Collection,ST0T27,Public Utilities License Taxes,State,"22,401"
Washington,2018,Annual Survey of State Government Tax Collection,ST0T27,Public Utilities License Taxes,State,"21,148"
Washington,2019,Annual Survey of State Government Tax Collection,ST0T27,Public Utilities License Taxes,State,"20,752"
Washington,2020,Annual Survey of State Government Tax Collection,ST0T27,Public Utilities License Taxes,State,"20,778"
Washington,2016,Annual Survey of State Government Tax Collection,ST0T28,"Occupation and Business License Taxes, NEC",State,"323,654"
Washington,2017,Annual Survey of State Government Tax Collection,ST0T28,"Occupation and Business License Taxes, NEC",State,"337,794"
